Publication,General Category Name,Award,Entry
The Marshall Project,Portfolio: Art Direction (Individual),Silver,Celina Fang
Reuters,Portfolio: Art Direction (Staff),Silver,Reuters
The Pudding,Portfolio: Combination (Staff),Silver,The Pudding
Reuters,Story Page Design: Politics,Bronze,Understanding Brexit: Divorce but not quite separation
The New York Times,Story Page Design: Politics,Bronze,The Swamp That Trump Built
Reuters,Story Page Design: International,Bronze,How powerful was the Beirut blast?
DR,Story Page Design: National,Bronze,"Secrets, Death and Instagram"
ProPublica,Story Page Design: Local Issues,Bronze,Hawaii’s Beaches Are Disappearing
Reuters,Story Page Design: Local Issues,Bronze,Up in smoke: California wine country counts the cost of wildfire damage
Los Angeles Times,"Story Page Design: Business/Finance, Technology & Transportation",Bronze,Toxic chemicals on planes add to COVID-19 travel woes
Radio-Canada,"Story Page Design: Business/Finance, Technology & Transportation",Bronze,La « nouvelle normalité » à l’ère de la COVID-19
The Washington Post,Story Page Design: Environment & Science,Bronze,Safe Passages
Reuters,Story Page Design: Health/Coronavirus,Bronze,Vaccine bootcamp
The New York Times,Story Page Design: Health/Coronavirus,Bronze,How the Virus Won
ESPN,Story Page Design: Sports,Bronze,Old QB Scars
DR,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,Extreme sports of art: Watch ballet like never before
DR,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,Learn to love classical music
DR,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,The dresses that tell the story of Queen Margrethe's path to the throne
Helsingin Sanomat,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,The City is Ours
Los Angeles Times,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,A guide to the internet
TASS Russian News Agency,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,Dante's circles
The Globe and Mail,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Bronze,Hidden Canada
The Washington Post,Story Page Design: Protests,Bronze,A low-flying ‘show of force’
Bloomberg,Infographics: Politics,Bronze,Bloomberg News 2020 U.S. Election Results
The New York Times,Infographics: Politics,Bronze,Immigrant Neighborhoods Shifted Red as the Country Chose Blue
The New York Times,Infographics: Politics,Bronze,The Swamp That Trump Built
The New York Times,Infographics: Politics,Bronze,Presidential Election Results: Biden Wins
The New York Times,Infographics: Politics,Bronze,Presidential Election Results: Election Needles
The Washington Post,Infographics: Politics,Bronze,How to vote
The New York Times,Infographics: International,Bronze,How a Massive Bomb Came Together in Beirut’s Port
Funke Mediengruppe,Infographics: National,Bronze,Divide Germany (again) and discover the differences
The New York Times,Infographics: National,Bronze,Track Coronavirus Cases in Places Important to You
Helsingin Sanomat,Infographics: Local Issues,Bronze,Who benefits from housing price control system?
The New York Times,"Infographics: Business/Finance, Technology & Transportation",Bronze,What Happens to Viral Particles on the Subway
National Geographic,Infographics: Environment & Science,Bronze,Bodies in Motion
Reuters,Infographics: Environment & Science,Bronze,Air attack
Reuters,Infographics: Environment & Science,Bronze,World's biggest iceberg heads for disaster
Reuters,Infographics: Environment & Science,Bronze,Sizing up Australia's bushfires
South China Morning Post,Infographics: Environment & Science,Bronze,Coconut harvesters or slaves?
The New York Times,Infographics: Environment & Science,Bronze,How Decades of Racist Housing Policy Left Neighborhoods Sweltering
The Washington Post,Infographics: Environment & Science,Bronze,Safe passages
The Washington Post,Infographics: Environment & Science,Bronze,This is what fuels West's infernos
La Nación,Infographics: Health/Coronavirus,Bronze,Covid-19 Speed of Transmission Monitor: Comparisons by Country
Reuters,Infographics: Health/Coronavirus,Bronze,Covid-19 global tracker
The New York Times,Infographics: Health/Coronavirus,Bronze,Coronavirus World Map: Tracking the Global Outbreak
The New York Times,Infographics: Health/Coronavirus,Bronze,How the Virus Got Out
The New York Times,Infographics: Health/Coronavirus,Bronze,An Incalculable Loss
The Washington Post,Infographics: Health/Coronavirus,Bronze,"A vaccine, or a spike in deaths: How America can build herd immunity to the coronavirus"
Zeit Online,Infographics: Health/Coronavirus,Bronze,Why Is the Risk of Coronavirus Transmission so High Indoors?
Reuters,"Inforgraphics: Gender, Identity & Social Issues",Bronze,The race gap
The New York Times,"Inforgraphics: Gender, Identity & Social Issues",Bronze,"Faces of Power: 80% Are White, Even as U.S. Becomes More Diverse"
CNN,Infographics: Protests,Bronze,How American police gear up to respond to protests
The New York Times,Infographics: Protests,Bronze,Here Are the 100 U.S. Cities Where Protesters Were Tear-Gassed
The New York Times,Infographics: Protests,Bronze,How the Philadelphia Police Tear-Gassed a Group of Trapped Protesters
The Washington Post,Infographics: Protests,Bronze,Helicopters: A low-flying ‘show of force’
Los Angeles Times,Format: Use of Original/Commissioned Illustration (single),Bronze,Will we ever kiss?
ABC News (Australia),Format: Use of Original/Commissioned Illustrations (Multiple),Bronze,‘I’m terrified’: what it’s like as a woman locked up in a men’s prison
ESPN,Format: Use of Original/Commissioned Illustrations (Multiple),Bronze,Racist Monuments
Dagens Nyheter,Format: Use of Video,Bronze,Dreams of Disco
The New York Times,Format: Use of Video,Bronze,Inside the Fight to Save Houston’s Most Vulnerable
The Seattle Times,Format: Use of Video,Bronze,Disappearing Daughters
Helsingin Sanomat,Format: Use of Photography or Photo Story,Bronze,One more Photo
NRC MEDIA,Format: Use of Photography or Photo Story,Bronze,‘Behind the swing doors’. Photographs from the Covid-19 Intensive Care Unit at Jeroen Bosch Hospital in the Netherlands.
POLITICO,Format: Use of Photography or Photo Story,Bronze,Optics: When the Protest Wave Crashed on D.C.
POLITIKEN,Format: Use of Photography or Photo Story,Bronze,The Abnormal
The New York Times,Format: Use of Photography or Photo Story,Bronze,America At Hunger’s Edge
The Washington Post,Format: Use of Photography or Photo Story,Bronze,America in Line
The New York Times,Format: Use of Maps,Bronze,The True Colors of America’s Political Spectrum Are Gray and Green
The New York Times,Format: Use of Maps,Bronze,Immigrant Neighborhoods Shifted Red as the Country Chose Blue
The Washington Post,Format: Use of Maps,Bronze,This is what fuels West's infernos
Los Angeles Times,Format: Use of Data,Bronze,How many people really wear masks? We counted. It wasn't pretty
NRK,Format: Use of Data,Bronze,"[Your Climate Future
](https://www.nrk.no/klima/kommune)"
Reuters,Format: Use of Data,Bronze,Stopping the spread: Reaching herd immunity through vaccination
The New York Times,Format: Use of Data,Bronze,"260,000 Words, Full of Self-Praise, From Trump on the Virus"
The New York Times,Format: Use of Data,Bronze,Presidential Election Results: Election Needles
The New York Times,Format: Use of Data,Bronze,Track Coronavirus Cases in Places Important to You
ABC News (Australia),Line of Coverage: U.S. Presidential Election,Bronze,Where the US election was won and lost
FiveThirtyEight,Line of Coverage: U.S. Presidential Election,Bronze,FiveThirtyEight US Presidential Elections Coverage
POLITICO,Line of Coverage: U.S. Presidential Election,Bronze,The 2020 Election Experience
Star Tribune,Line of Coverage: U.S. Presidential Election,Bronze,Star Tribune Election Coverage
The New York Times,Line of Coverage: U.S. Presidential Election,Bronze,U.S. Presidential Election - 2020 Election
The New York Times,Line of Coverage: U.S. Presidential Election,Bronze,U.S. Presidential Election - Battlegrounds
The Texas Tribune,Line of Coverage: U.S. Presidential Election,Bronze,Texas Tribune Election Coverage
Reuters,Line of Coverage: Coronavirus,Bronze,Understanding Covid-19
The New York Times,Line of Coverage: Coronavirus,Bronze,Coronavirus - What Happened
The New York Times,Line of Coverage: Protests,Bronze,Protests
The New York Times,Line of Coverage: Protests,Bronze,Video Investigation Team BLM Line of Coverage
ProPublica,Line of Coverage: Public Service,Bronze,We Are Tracking What Happens to Police After They Use Force on Protesters
The Washington Post,Line of Coverage: Public Service,Bronze,Visual Forensics
The Atlantic,Product: Best mobile app,Bronze,The Atlantic iOS App
Alley,"Product: Best new or redesigned product, site, page or app",Bronze,Defector
The Markup,"Product: Best new or redesigned product, site, page or app",Bronze,The Markup
Agência Lupa,"Product: Best storytelling, multimedia or interactive tools",Bronze,No Epicentro (At the epicenter)
Gannett,"Product: Best storytelling, multimedia or interactive tools",Bronze,Graphic Novel publishing app
Radio-Canada,"Product: Best storytelling, multimedia or interactive tools",Bronze,Comment combattre la désinformation
Reuters,Portfolio: Infographics (Individual),Bronze,Marco Hernandez
La Nación,Portfolio: Infographics (Staff),Bronze,La Nación
ESPN,Portfolio: Art Direction (Individual),Bronze,Heather Donahue
POLITICO,Portfolio: Art Direction (Individual),Bronze,Erin Aulov
Quartz,Portfolio: Art Direction (Individual),Bronze,Bárbara Abbês
The Washington Post,Portfolio: Art Direction (Individual),Bronze,Elizabeth Hart
POLITICO,Portfolio: Art Direction (Staff),Bronze,Politico: Visuals team
Reuters,Portfolio: Combination (Staff),Bronze,Reuters
Star Tribune,Portfolio: Combination (Staff),Bronze,Star Tribune
Poster,Portfolio: Social Media,Bronze,Instagram magazine
ABC News (Australia),Story Page Design: Politics,Award of Excellence,What we know (and don’t know) about the US election result
"Al Jazeera English, AJ Digital",Story Page Design: Politics,Award of Excellence,The Failed Deals of the Century
CGTN,Story Page Design: Politics,Award of Excellence,A story of struggle and success: 832 China's poorest counties
CNN,Story Page Design: Politics,Award of Excellence,'It's going to disappear': A timeline of Trump's claims that Covid-19 will vanish
POLITICO,Story Page Design: Politics,Award of Excellence,Love in Needlepoint: Donald Trump’s Timeless Wisdom on Love
South China Morning Post,Story Page Design: Politics,Award of Excellence,Where is Carrie Lam?
The New York Times,Story Page Design: Politics,Award of Excellence,Presidential Election Results: Biden Wins
The New York Times,Story Page Design: Politics,Award of Excellence,"Ready, Set, Vote: Here’s Everything You Need to Know for the 2020 Primaries"
The New York Times,Story Page Design: Politics,Award of Excellence,The True Colors of America’s Political Spectrum Are Gray and Green
The Straits Times,Story Page Design: Politics,Award of Excellence,"Singapore GE2020: New faces, old-timers and quite a few lawyers"
The Washington Post,Story Page Design: Politics,Award of Excellence,Trump and Biden: Issues Comparison
The Washington Post,Story Page Design: Politics,Award of Excellence,Early Voting Lines
CNN,Story Page Design: International,Award of Excellence,"Watched, judged, detained"
CNN,Story Page Design: International,Award of Excellence,A Looming Plague
CNN,Story Page Design: International,Award of Excellence,‘Black gold’
Helsingin Sanomat,Story Page Design: International,Award of Excellence,Monster crickets
Kontinentalist,Story Page Design: International,Award of Excellence,Abandoned at sea: The desperate journeys of Rohingya refugees
Kontinentalist,Story Page Design: International,Award of Excellence,Inside the sacred Hajj pilgrimage
La Nación,Story Page Design: International,Award of Excellence,"The Chilean miners, ten years later: A spectacular rescue and 33 lives scarred by terror"
POLITIKEN,Story Page Design: International,Award of Excellence,She was kidnapped
South China Morning Post,Story Page Design: International,Award of Excellence,How the coronavirus disrupts food supply chain
South China Morning Post,Story Page Design: International,Award of Excellence,Who has the upper hand in the China-India border dispute?
The Asahi Shimbun,Story Page Design: International,Award of Excellence,IRAN: The Crescent of Resistance in search of a mysterious armed group
The Asahi Shimbun,Story Page Design: International,Award of Excellence,Nomonhan – The beginning and the end of the World War II
The Globe and Mail,Story Page Design: International,Award of Excellence,The disappeared: Inside families’ risky search to uncover the truth behind Mexico’s mass graves
The New York Times,Story Page Design: International,Award of Excellence,Coronavirus World Map: Tracking the Global Outbreak
The Washington Post,Story Page Design: International,Award of Excellence,Ethiopia Dam
de Volkskrant,Story Page Design: National,Award of Excellence,"Five surfers died, five families tell their story"
DR,Story Page Design: National,Award of Excellence,When Darkness Comes
Helsingin Sanomat,Story Page Design: National,Award of Excellence,Deserted House
Los Angeles Times,Story Page Design: National,Award of Excellence,2020 Visual Journey
ProPublica,Story Page Design: National,Award of Excellence,The Black American Amputation Epidemic
ProPublica,Story Page Design: National,Award of Excellence,Convicted Based on Lies
Reuters,Story Page Design: National,Award of Excellence,Mining Australia’s sacred sites
The Globe and Mail,Story Page Design: National,Award of Excellence,The passengers of UIA Flight 752: What we know about those we lost in the disaster
The Washington Post,Story Page Design: National,Award of Excellence,Canary: The Washington Post Investigates
The Washington Post,Story Page Design: National,Award of Excellence,2020 Photo Issue
The Washington Post,Story Page Design: National,Award of Excellence,24 hours in the life of American workers
Toronto Star,Story Page Design: National,Award of Excellence,The Uncounted
NJ Advance Media,Story Page Design: Local Issues,Award of Excellence,Blue to Red in 30 Miles
South China Morning Post,Story Page Design: Local Issues,Award of Excellence,Where is Carrie Lam?
South China Morning Post,Story Page Design: Local Issues,Award of Excellence,Was a mass Covid-19 test a success for Hong Kong?
South China Morning Post,Story Page Design: Local Issues,Award of Excellence,How a Hong Kong protest evolved into an anti-government movement
Star Tribune,Story Page Design: Local Issues,Award of Excellence,George Floyd's Search For Salvation
Radio-Canada	,"Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,Pouvez-vous vraiment décoder les émojis?
"The Age, The Sydney Morning Herald","Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,All that glitters - might just be gold
"The Age, The Sydney Morning Herald","Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,Silent Skies - How a pandemic grounded the aviation industry
The Globe and Mail,"Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,Rebirth of the promenade: A proposal for ‘Canada’s street’ shows what is possible in a post-pandemic world
The Telegraph,"Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,Surviving coronavirus: Business victims and successes tell their stories
The Washington Post,"Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,"COVID: 10 lives, interrupted"
The Washington Post,"Story Page Design: Business/Finance, Technology & Transportation",Award of Excellence,Going it alone in two of America’s agricultural towns
ABC News (Australia),Story Page Design: Environment & Science,Award of Excellence,How heat and drought turned Australia into a tinderbox
DR,Story Page Design: Environment & Science,Award of Excellence,The most deadly weapon in the world: How the nuclear bomb works
Reuters,Story Page Design: Environment & Science,Award of Excellence,World's biggest iceberg heads for disaster
Reuters,Story Page Design: Environment & Science,Award of Excellence,Shifting smoke
Reuters,Story Page Design: Environment & Science,Award of Excellence,How thawing permafrost could fuel climate warming
Reuters,Story Page Design: Environment & Science,Award of Excellence,A devastated West Coast
Reuters,Story Page Design: Environment & Science,Award of Excellence,Amazon gold rush: The threatened tribe
Reuters,Story Page Design: Environment & Science,Award of Excellence,Air attack
Sixth Tone,Story Page Design: Environment & Science,Award of Excellence,The Telescope at the End of the Universe
South China Morning Post,Story Page Design: Environment & Science,Award of Excellence,Coconut harvesters or slaves?
South China Morning Post,Story Page Design: Environment & Science,Award of Excellence,Australian fires: Understanding the intensity and global impact
"The Age, The Sydney Morning Herald",Story Page Design: Environment & Science,Award of Excellence,Buzz off: Why mosquitoes are biting you
The New York Times,Story Page Design: Environment & Science,Award of Excellence,The Amazon Has Seen Our Future
The Washington Post,Story Page Design: Environment & Science,Award of Excellence,Empire State of Green
ABC News (Australia),Story Page Design: Health/Coronavirus,Award of Excellence,Far from care
ABC News (Australia),Story Page Design: Health/Coronavirus,Award of Excellence,The virus and the vaccine
Dagens Nyheter,Story Page Design: Health/Coronavirus,Award of Excellence,"One day, 118 lives. The human beings behind the numbers."
de Volkskrant,Story Page Design: Health/Coronavirus,Award of Excellence,When the masks come off
La Nación,Story Page Design: Health/Coronavirus,Award of Excellence,"Returning to the workplace during the Covid-19 pandemic: panels, sensors and circulation signage"
Radio-Canada,Story Page Design: Health/Coronavirus,Award of Excellence,Quels sont les risques associés à vos activités?
Radio-Canada,Story Page Design: Health/Coronavirus,Award of Excellence,Who has died from COVID-19 in Canada?
Reuters,Story Page Design: Health/Coronavirus,Award of Excellence,Why time feels so weird in 2020
Reuters,Story Page Design: Health/Coronavirus,Award of Excellence,From labs to jabs
Reuters,Story Page Design: Health/Coronavirus,Award of Excellence,New normal: How far is safe enough?
South China Morning Post,Story Page Design: Health/Coronavirus,Award of Excellence,Decoding Covid-19
South China Morning Post,Story Page Design: Health/Coronavirus,Award of Excellence,How the coronavirus disrupts food supply chains
"The Age, The Sydney Morning Herald",Story Page Design: Health/Coronavirus,Award of Excellence,Silent Skies - How a pandemic grounded the aviation industry
The Dallas Morning News,Story Page Design: Health/Coronavirus,Award of Excellence,Tested by COVID
The Marshall Project,Story Page Design: Health/Coronavirus,Award of Excellence,A State-by-State Look at Coronavirus in Prisons
The New York Times,Story Page Design: Health/Coronavirus,Award of Excellence,An Incalculable Loss
The Washington Post,Story Page Design: Health/Coronavirus,Award of Excellence,April 2020
The Washington Post,Story Page Design: Health/Coronavirus,Award of Excellence,Scientists have a powerful new tool for controlling the coronavirus: Its own genetic code.
ESPN,Story Page Design: Sports,Award of Excellence,NBA Mock Draft
ESPN,Story Page Design: Sports,Award of Excellence,Hype Hits
ESPN,Story Page Design: Sports,Award of Excellence,Bundesliga 101
ESPN,Story Page Design: Sports,Award of Excellence,Karolyi Ranch
ESPN,Story Page Design: Sports,Award of Excellence,Sports Spelling Bee
ESPN,Story Page Design: Sports,Award of Excellence,Belichick Sweatshirts
ESPN,Story Page Design: Sports,Award of Excellence,NFL Coaching Carousel
ESPN,Story Page Design: Sports,Award of Excellence,College Football Fan Tracker
Globo,Story Page Design: Sports,Award of Excellence,Have you seen it?
Globo,Story Page Design: Sports,Award of Excellence,Tyson´s lullaby
Helsingin Sanomat	,Story Page Design: Sports,Award of Excellence,Finland's Olympic Hopes
The Washington Post,Story Page Design: Sports,Award of Excellence,USWNT’s march to the 2019 World Cup title: An oral history
DR,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,The Pearl Jam Tragedy at Roskilde Festival 2000
F Newsmagazine,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,"White Guilt on Display, Instead of Philip Guston"
Helsingin Sanomat,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Holy Pixel
Los Angeles Times,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Rise of the Dancefluencer
Los Angeles Times,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Scroll for Prom
Los Angeles Times,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,A field guide to BoJack Horseman's Hollywoo
POLITIKEN,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Amanda Collin – Ridley Scott's choice
POLITIKEN,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Mirror Mirror …
Reuters,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,The mobilizing power of the BTS ARMY
Texas Highways Magazine,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Back to your routes
The Washington Post,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,The illustrated encyclopedia of sleeping positions on a plane
The Washington Post,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Oscar posters
The Washington Post,"Story Page Design: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Build your perfect pie
ABC News (Australia),Story Page Design: Gender/Identity & Social Issues,Award of Excellence,‘I’m terrified’: what it’s like as a woman locked up in a men’s prison
ABC News (Australia),Story Page Design: Gender/Identity & Social Issues,Award of Excellence,Unmatched
EL TIEMPO,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,No more invisible girls
Metrópoles,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,Elas por elas: os números por trás dos feminicídios em 2019 no DF
Público,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,30 coisas para fazer na vida
Reuters,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,The race gap
Reuters,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,Shielded: Supreme Defense
The New York Times,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,Three Words. 70 Cases. The Tragic History of ‘I Can’t Breathe.’
The New York Times,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,How the Criterion Collection Crops Out African-American Directors
The New York Times,Story Page Design: Gender/Identity & Social Issues,Award of Excellence,"Faces of Power: 80% Are White, Even as U.S. Becomes More Diverse"
WHYNOT (Radio Free Asia),Story Page Design: Gender/Identity & Social Issues,Award of Excellence,Me and My Comrades 我和我的同志
CNN,Story Page Design: Protests,Award of Excellence,How American police gear up to respond to protests
Los Angeles Times,Story Page Design: Protests,Award of Excellence,Was LAPD force appropriate in George Floyd protests?
Reuters,Story Page Design: Protests,Award of Excellence,Videos of alleged police misconduct went viral. Then what happened?
South China Morning Post,Story Page Design: Protests,Award of Excellence,Arrested Hong Kong protesters: How the numbers look one year on
Star Tribune,Story Page Design: Protests,Award of Excellence,"The siege of the Third Precinct, minute by minute"
The Washington Post,Story Page Design: Protests,Award of Excellence,Reconstructing seven days of protests in Minneapolis after George Floyd’s death
Kontinentalist,Story Page Design: Other,Award of Excellence,"Born to fly: The life, journey, and trials of a migratory bird"
The Atlantic,Story Page Design: Other,Award of Excellence,Shadowland
The New York Times,Story Page Design: Other,Award of Excellence,The Privacy Project
The Washington Post,Story Page Design: Other,Award of Excellence,2020 Year in Comments
TV 2 Denmark,Story Page Design: Other,Award of Excellence,Two Danish soldiers killed - investigation revealed faulty equipment
Bloomberg,Infographics: Politics,Award of Excellence,Trump’s New Latino Voters Are Sending Democrats a Message
Bloomberg,Infographics: Politics,Award of Excellence,Biden Tries to Defy History After Sinking in Polls
POLITICO,Infographics: Politics,Award of Excellence,An illustrated guide to the Iowa caucuses
Reuters,Infographics: Politics,Award of Excellence,How Joe Biden won the U.S. presidential election
Star Tribune,Infographics: Politics,Award of Excellence,What would it take for Trump to win Minnesota over Biden?
The New York Times,Infographics: Politics,Award of Excellence,A 3-D Tour of How the Senate Was Transformed for the Impeachment Trial
The New York Times,Infographics: Politics,Award of Excellence,A Quick Quiz to Match You With a Democratic Candidate
The New York Times,Infographics: Politics,Award of Excellence,Can You Guess Trump’s Record?
The New York Times,Infographics: Politics,Award of Excellence,We Checked the Iowa Caucus Math. Here’s Where It Didn’t Add Up.
The New York Times,Infographics: Politics,Award of Excellence,Will You Have Enough Time to Vote by Mail in Your State?
The New York Times,Infographics: Politics,Award of Excellence,The Battleground States Biden and Trump Need to Win 270
The New York Times,Infographics: Politics,Award of Excellence,Charting an Empire: A Timeline of Trump’s Finances
The Washington Post,Infographics: Politics,Award of Excellence,"Bloomberg’s immense spending gets him 30,000 online ads a minute, and a whole lot more"
The Washington Post,Infographics: Politics,Award of Excellence,From ‘It’s going to disappear’ to ‘WE WILL WIN THIS WAR’
The Washington Post,Infographics: Politics,Award of Excellence,Election Night 2020 could go on for weeks — just look at the primaries
The Washington Post,Infographics: Politics,Award of Excellence,Exit polls from the 2020 Democratic Super Tuesday contests
The Washington Post,Infographics: Politics,Award of Excellence,A timelapse inside one caucus site shows Iowa’s trouble narrowing the field
The Washington Post,Infographics: Politics,Award of Excellence,The political winds in the U.S. are swirling
South China Morning Post,Infographics: International,Award of Excellence,The slave trade
The New York Times,Infographics: International,Award of Excellence,Coronavirus World Map: Tracking the Global Outbreak
The Washington Post,Infographics: International,Award of Excellence,How a South Korean church helped fuel the spread of the coronavirus
ProPublica,Infographics: National,Award of Excellence,Charting the Long-Term Impact of Trump’s Judicial Appointments
Radio-Canada,Infographics: National,Award of Excellence,Comment s’est propagée la COVID-19 au Canada?
Reuters,Infographics: National,Award of Excellence,Mining Australia’s sacred sites
South China Morning Post,Infographics: National,Award of Excellence,China’s worst floods in decades
South China Morning Post,Infographics: National,Award of Excellence,China’s wildlife trade
The New York Times,Infographics: National,Award of Excellence,U.S. Virus Cases Climb Toward a Third Peak
The New York Times,Infographics: National,Award of Excellence,How Full Are Hospital I.C.U.s Near You?
The Washington Post,Infographics: National,Award of Excellence,Police shootings database
The Washington Post,Infographics: National,Award of Excellence,Where Americans are still staying at home the most
La Nación,Infographics: Local Issues,Award of Excellence,Alberto Nisman: the remaining mysteries after 5 years of his death
Los Angeles Times,Infographics: Local Issues,Award of Excellence,L.A. police killings database
Star Tribune	,Infographics: Local Issues,Award of Excellence,"Buildings damaged in Minneapolis, St. Paul after riots"
The Straits Times,Infographics: Local Issues,Award of Excellence,From 1845 to 2020: Singapore and the world through ST headlines
The Markup,"Infographics: Business/Finance, Technology & Transportation",Award of Excellence,Are Your Country's Cellphone Plans a Rip-off?
The New York Times,"Infographics: Business/Finance, Technology & Transportation",Award of Excellence,"13,000 Missing Flights: The Global Consequences of the Coronavirus"
